Campaign,Date,City/Location,Channel,Device,Ad,Impressions,"CTR, %",Clicks,Daily Average CPC,"Spend, INR",Conversions,"Total conversion value, INR",Likes (Reactions),Shares,Comments
Heritage Exclusive Sale,7/17/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,2444,1.3%,33,62,2023,10,13282,87,29,13
Heritage Exclusive Sale,7/18/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3981,2.2%,86,65,5564,3,12678,133,13,13
Heritage Exclusive Sale,7/19/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,4015,2.1%,83,33,2709,7,7607,133,29,33
Heritage Exclusive Sale,7/20/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,4215,1.4%,59,66,3904,3,3139,111,25,13
Heritage Exclusive Sale,7/21/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,2239,1.6%,37,46,1704,24,45038,114,20,27
Heritage Exclusive Sale,7/22/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,4488,2.0%,90,67,6012,0,0,130,11,13
Heritage Exclusive Sale,7/23/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,2455,1.9%,46,45,2037,7,9780,137,13,30
Heritage Exclusive Sale,7/24/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,2592,1.3%,34,56,1890,0,0,85,16,13
Heritage Exclusive Sale,7/25/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3329,1.7%,55,44,2430,0,0,135,38,33
Heritage Exclusive Sale,7/26/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,2132,2.2%,47,33,1533,0,0,85,27,50
Heritage Exclusive Sale,7/27/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,4202,1.6%,66,50,3327,3,8211,80,42,20
Heritage Exclusive Sale,7/28/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,2417,1.8%,44,83,3657,10,22821,113,36,13
Heritage Exclusive Sale,7/29/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3969,2.1%,83,84,6967,0,0,124,16,33
Heritage Exclusive Sale,7/30/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,2955,1.2%,36,78,2794,14,31997,111,33,37
Heritage Exclusive Sale,7/31/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,2862,1.1%,33,49,1622,0,0,123,33,37
Heritage Exclusive Sale,8/1/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,4138,1.3%,53,54,2814,3,9539,101,31,50
Heritage Exclusive Sale,8/2/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,2823,1.9%,53,45,2357,7,16421,109,27,23
Heritage Exclusive Sale,8/3/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,2781,1.8%,51,42,2123,3,10988,122,11,37
Heritage Exclusive Sale,8/4/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,4325,1.9%,81,77,6240,21,58440,79,16,13
Heritage Exclusive Sale,8/5/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3439,2.0%,67,24,1641,10,20164,137,22,10
Heritage Exclusive Sale,8/6/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3959,1.9%,75,45,3349,0,0,122,11,13
Heritage Exclusive Sale,8/7/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,1893,1.1%,21,54,1137,0,0,80,27,37
Heritage Exclusive Sale,8/8/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,2146,1.5%,33,82,2724,0,0,86,31,13
Heritage Exclusive Sale,8/9/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,2291,1.5%,34,45,1523,7,13282,112,40,33
Heritage Exclusive Sale,8/10/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,1878,1.8%,33,70,2290,0,0,93,13,40
Heritage Exclusive Sale,8/11/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,2161,1.7%,36,49,1751,10,12557,92,22,27
Heritage Exclusive Sale,8/12/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3874,1.5%,58,67,3873,21,33929,87,25,17
Heritage Exclusive Sale,8/13/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,2241,1.4%,31,45,1379,0,0,84,29,37
Heritage Exclusive Sale,8/14/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,2352,1.3%,30,61,1823,3,9418,116,36,23
Heritage Exclusive Sale,8/15/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,4840,2.1%,102,83,8432,3,3622,103,11,27
Heritage Exclusive Sale,8/16/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,2029,1.5%,30,79,2372,14,18474,109,22,3
Heritage Exclusive Sale,8/17/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,2125,1.9%,41,61,2526,24,59768,96,40,23
Heritage Exclusive Sale,8/18/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3962,1.3%,51,45,2285,17,26443,105,36,43
Heritage Exclusive Sale,8/19/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,1527,1.3%,20,82,1652,0,0,87,22,27
Heritage Exclusive Sale,8/20/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3127,2.2%,68,69,4699,17,49384,93,40,33
Heritage Exclusive Sale,8/21/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,1968,2.0%,40,67,2682,21,32842,124,22,17
Heritage Exclusive Sale,8/22/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,1935,2.1%,40,77,3092,21,41294,106,20,23
Heritage Exclusive Sale,8/23/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3946,1.7%,65,80,5224,24,73895,95,42,37
Heritage Exclusive Sale,8/24/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,2970,1.3%,39,39,1525,24,43589,87,36,20
Heritage Exclusive Sale,8/25/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,2232,1.9%,43,59,2508,0,0,86,29,3
Heritage Exclusive Sale,8/26/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,2116,1.7%,35,81,2827,24,49867,92,9,10
Heritage Exclusive Sale,8/27/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,2983,1.3%,39,62,2400,21,39966,123,22,27
Heritage Exclusive Sale,8/28/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3237,1.6%,53,46,2444,10,10988,125,9,3
Heritage Exclusive Sale,8/29/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3482,1.4%,47,54,2546,3,4105,105,31,47
Heritage Exclusive Sale,8/30/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,2976,1.1%,33,42,1397,21,26684,121,9,13
Heritage Exclusive Sale,8/31/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3242,2.1%,70,52,3620,10,15093,106,11,37
Heritage Exclusive Sale,9/1/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,2553,1.3%,32,70,2248,0,0,85,27,20
Heritage Exclusive Sale,9/2/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,4439,1.8%,79,66,5194,10,14852,121,9,47
Heritage Exclusive Sale,9/3/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,2553,1.6%,41,39,1594,7,2415,124,18,33
Heritage Exclusive Sale,9/4/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3633,1.5%,54,63,3381,14,24753,118,42,17
Heritage Exclusive Sale,9/5/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3748,1.1%,42,71,3007,21,56750,133,16,13
Heritage Exclusive Sale,9/6/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,1844,1.8%,34,31,1066,17,31514,134,29,43
Heritage Exclusive Sale,9/7/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,2807,1.3%,36,30,1081,17,50471,109,25,13
Heritage Exclusive Sale,9/8/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3146,2.0%,62,51,3140,10,32963,77,33,30
Heritage Exclusive Sale,9/9/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,1771,1.9%,33,33,1079,0,0,141,11,47
Heritage Exclusive Sale,9/10/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,4023,1.4%,55,56,3092,0,0,86,11,20
Heritage Exclusive Sale,9/11/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3511,1.9%,66,34,2257,7,19319,129,38,23
Heritage Exclusive Sale,9/12/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,2527,1.7%,44,81,3545,21,37431,103,33,30
Heritage Exclusive Sale,9/13/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,4750,1.3%,60,28,1694,0,0,107,31,27
Heritage Exclusive Sale,9/14/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,4405,1.3%,57,67,3822,21,57112,95,36,37
Heritage Exclusive Sale,9/15/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,1633,1.9%,31,80,2468,10,28979,89,22,27
Heritage Exclusive Sale,9/16/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,4582,1.7%,76,40,3033,17,44434,124,27,20
Heritage Exclusive Sale,9/17/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,4033,1.4%,55,68,3782,7,14610,92,29,23
Heritage Exclusive Sale,9/18/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,2607,1.4%,36,48,1727,24,69669,113,25,40
Heritage Exclusive Sale,9/19/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3453,1.2%,43,27,1159,3,1449,91,38,43
Heritage Exclusive Sale,9/20/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,2263,2.2%,49,51,2467,3,604,96,42,23
Heritage Exclusive Sale,9/21/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3537,1.7%,61,44,2655,10,22579,103,27,37
Heritage Exclusive Sale,9/22/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,2883,2.0%,57,84,4792,0,0,121,25,23
Heritage Exclusive Sale,9/23/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3565,1.5%,54,87,4716,24,29824,105,13,23
Spice Bazaar ,9/24/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,5698,1.4%,81,19,1573,28,50592,127,20,23
Spice Bazaar ,9/25/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3378,1.5%,50,62,3088,28,44796,127,31,37
Spice Bazaar ,9/26/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,6575,2.2%,143,29,4113,17,51437,122,42,33
Spice Bazaar ,9/27/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,4784,2.0%,97,81,7871,10,21130,100,45,30
Spice Bazaar ,9/28/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,7023,2.1%,147,48,7054,17,44072,148,40,20
Spice Bazaar ,9/29/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,5905,2.2%,130,48,6211,24,48901,111,29,27
Spice Bazaar ,9/30/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,5635,1.7%,97,79,7648,28,53248,118,27,37
Spice Bazaar ,10/1/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,5409,1.4%,77,82,6318,7,17508,79,40,33
Spice Bazaar ,10/2/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,4673,1.8%,82,34,2807,7,20768,138,45,23
Spice Bazaar ,10/3/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,4851,2.4%,114,52,5988,17,38759,130,25,20
Spice Bazaar ,10/4/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,4288,1.7%,71,44,3104,31,94543,100,31,43
Spice Bazaar ,10/5/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,6445,1.5%,98,62,6038,31,62545,82,38,20
Spice Bazaar ,10/6/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3404,1.6%,53,39,2079,7,19561,92,27,23
Spice Bazaar ,10/7/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,4584,1.6%,72,44,3196,31,82951,118,31,13
Spice Bazaar ,10/8/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,4292,2.5%,106,45,4739,14,29703,140,27,43
Spice Bazaar ,10/9/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,6331,1.9%,121,22,2718,28,67134,100,16,13
Spice Bazaar ,10/10/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,4917,2.0%,99,36,3552,21,47694,98,42,17
Spice Bazaar ,10/11/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,4237,1.9%,79,31,2451,31,40449,89,45,10
Spice Bazaar ,10/12/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3892,2.1%,83,77,6397,31,57836,97,25,40
Spice Bazaar ,10/13/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3374,1.7%,57,36,2049,21,46486,124,22,20
Spice Bazaar ,10/14/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,6031,1.9%,112,57,6432,17,39000,114,18,7
Spice Bazaar ,10/15/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,5095,1.3%,68,59,3988,10,22579,96,38,40
Spice Bazaar ,10/16/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3756,1.7%,65,51,3324,17,48418,130,38,17
Spice Bazaar ,10/17/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,4218,1.5%,61,73,4480,10,14731,118,33,23
Spice Bazaar ,10/18/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,5524,2.2%,121,67,8034,17,39604,118,33,33
Spice Bazaar ,10/19/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,2779,2.0%,56,53,2951,7,14369,76,36,7
Spice Bazaar ,10/20/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,6131,1.9%,116,55,6322,17,42502,89,22,30
Spice Bazaar ,10/21/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3863,1.3%,51,31,1569,17,17991,118,36,30
Spice Bazaar ,10/22/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,6087,1.7%,104,40,4110,28,64357,118,31,30
Spice Bazaar ,10/23/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3741,1.4%,52,55,2824,17,52886,132,36,13
Spice Bazaar ,10/24/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,4714,1.6%,76,51,3819,21,59406,97,9,27
Spice Bazaar ,10/25/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,4747,1.8%,84,46,3854,31,61217,91,13,13
Spice Bazaar ,10/26/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,4917,2.0%,98,57,5555,10,10625,134,45,27
Spice Bazaar ,10/27/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,6331,1.7%,109,51,5565,10,34412,85,27,27
Spice Bazaar ,10/28/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,6845,2.3%,159,70,11109,10,17025,80,38,40
Spice Bazaar ,10/29/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3345,1.6%,52,74,3883,31,84642,100,45,30
Spice Bazaar ,10/30/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3249,2.0%,64,48,3095,10,25356,97,16,10
Spice Bazaar ,10/31/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,2986,1.9%,55,29,1592,21,37914,109,38,3
Spice Bazaar ,11/1/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,5746,1.7%,100,55,5535,10,34533,77,20,33
Spice Bazaar ,11/2/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,6386,2.3%,147,71,10363,17,25235,133,38,37
Spice Bazaar ,11/3/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,6793,1.9%,127,75,9581,7,20647,125,31,30
Spice Bazaar ,11/4/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,4255,2.5%,105,74,7778,21,40811,132,4,33
Spice Bazaar ,11/5/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,4891,2.5%,121,75,9032,10,20889,103,16,23
Spice Bazaar ,11/6/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3308,2.1%,69,76,5244,10,17870,135,47,33
Spice Bazaar ,11/7/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,6238,1.7%,107,28,3042,21,44675,132,31,17
Spice Bazaar ,11/8/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3700,1.7%,64,29,1878,14,22458,87,38,27
Spice Bazaar ,11/9/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3608,2.0%,73,79,5727,31,51558,96,7,37
Spice Bazaar ,11/10/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,6938,1.4%,97,63,6116,21,38759,139,27,20
Spice Bazaar ,11/11/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3164,1.6%,50,25,1224,28,50471,92,36,20
Spice Bazaar ,11/12/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,2790,1.8%,50,37,1836,24,57474,111,38,17
Spice Bazaar ,11/13/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,5495,2.2%,120,32,3861,7,15938,109,18,37
Spice Bazaar ,11/14/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3589,2.3%,84,46,3903,31,66651,133,25,30
Spice Bazaar ,11/15/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,2975,1.8%,52,26,1365,24,55421,128,31,43
Spice Bazaar ,11/16/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,5680,2.2%,125,43,5413,31,63270,133,20,23
Spice Bazaar ,11/17/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,5824,2.3%,136,59,7977,17,39966,140,20,13
Spice Bazaar ,11/18/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3822,1.9%,73,55,4021,24,62304,86,22,33
Spice Bazaar ,11/19/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,4455,2.0%,88,46,4047,24,54576,128,13,20
Spice Bazaar ,11/20/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,4769,2.4%,113,82,9257,31,65926,95,16,40
Spice Bazaar ,11/21/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,6275,2.1%,133,27,3587,10,39242,87,25,37
Spice Bazaar ,11/22/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3430,1.6%,53,79,4189,28,70394,127,25,33
Spice Bazaar ,11/23/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,4729,1.6%,78,42,3281,10,41657,135,38,23
Spice Bazaar ,11/24/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3733,1.6%,61,24,1479,14,33688,91,36,37
Spice Bazaar ,11/25/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3027,2.3%,69,48,3291,7,15093,100,22,37
Spice Bazaar ,11/26/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3770,2.1%,78,54,4211,7,31635,144,20,43
Spice Bazaar ,11/27/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,5872,2.3%,133,58,7781,24,67496,89,20,17
Spice Bazaar ,11/28/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,6431,1.5%,97,66,6410,28,58319,139,16,23
Spice Bazaar ,11/29/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,5835,1.4%,83,27,2199,7,26443,116,29,40
Spice Bazaar ,11/30/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,6101,1.4%,84,71,5940,14,24390,85,25,37
Spice Bazaar ,12/1/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,4529,1.4%,65,42,2716,28,54576,119,7,10
Spice Bazaar ,12/2/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,4451,1.9%,83,24,1968,7,32601,113,9,10
Spice Bazaar ,12/3/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,4496,1.7%,78,23,1814,7,20164,106,47,33
Spice Bazaar ,12/4/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,5728,2.3%,134,55,7346,28,58440,124,22,20
Spice Bazaar ,12/5/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3896,2.0%,78,55,4312,24,67254,112,25,17
Spice Bazaar ,12/6/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,5010,1.6%,82,58,4737,14,32963,97,20,23
Spice Bazaar ,12/7/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,6179,1.5%,94,67,6280,17,58078,123,40,13
Spice Bazaar ,12/8/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3182,2.2%,71,66,4706,10,23907,81,29,47
Spice Bazaar ,12/9/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,6660,1.4%,95,73,6990,7,24028,113,49,20
Spice Bazaar ,12/10/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,4692,2.2%,104,45,4678,14,43589,113,16,30
Spice Bazaar ,12/11/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,4925,2.1%,106,58,6171,21,51799,89,38,17
Spice Bazaar ,12/12/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,6956,2.1%,148,40,5910,28,61338,103,18,20
Spice Bazaar ,12/13/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3241,2.0%,64,49,3140,7,20647,113,49,20
Spice Bazaar ,12/14/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,4880,2.4%,115,56,6454,24,60613,123,22,20
Spice Bazaar ,12/15/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,6179,2.3%,144,79,11321,10,33808,86,18,37
Spice Bazaar ,12/16/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3541,1.8%,63,49,3060,17,30548,129,31,23
Spice Bazaar ,12/17/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,4803,1.5%,73,38,2804,24,74378,97,45,40
Spice Bazaar ,12/18/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,3563,1.7%,60,67,4011,14,39483,107,42,37
Spice Bazaar ,12/19/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,5021,2.2%,109,36,3916,7,16663,127,13,13
Spice Bazaar ,12/20/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,5757,1.4%,82,63,5165,28,71963,119,25,20
Spice Bazaar ,12/21/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,5798,2.1%,124,82,10094,21,71118,122,40,33
Spice Bazaar ,12/22/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,4385,1.9%,83,60,4955,10,25356,139,20,13
Spice Bazaar ,12/23/2023,Hyderabad,Twitter,Smartphone,Fresh Deals,4070,1.5%,61,76,4653,7,27650,128,27,33
Festival Delight,3/24/2023,Ahmedabad,Snapchat,Smartphone,Exclusive Sale,1608,1.0%,16,22,356,17,38155,1,9,3
Festival Delight,3/25/2023,Ahmedabad,Snapchat,Smartphone,Exclusive Sale,1104,1.2%,14,1,10,17,10867,34,0,7
Festival Delight,3/26/2023,Ahmedabad,Snapchat,Smartphone,Exclusive Sale,3909,1.3%,52,29,1491,17,29945,22,16,3
Festival Delight,3/27/2023,Ahmedabad,Snapchat,Smartphone,Exclusive Sale,1996,1.7%,34,17,565,14,14731,7,13,10
Festival Delight,3/28/2023,Ahmedabad,Snapchat,Smartphone,Exclusive Sale,3060,1.5%,46,8,364,0,0,32,18,10
Festival Delight,3/29/2023,Ahmedabad,Snapchat,Smartphone,Exclusive Sale,2219,1.7%,37,9,319,21,34774,7,9,17
Festival Delight,3/30/2023,Ahmedabad,Snapchat,Smartphone,Exclusive Sale,4638,1.8%,83,36,2989,24,18715,28,11,10
Festival Delight,3/31/2023,Ahmedabad,Snapchat,Smartphone,Exclusive Sale,1148,0.8%,9,3,28,10,13282,50,9,17
Festival Delight,4/1/2023,Ahmedabad,Snapchat,Smartphone,Exclusive Sale,1460,0.7%,10,39,382,0,0,32,7,3
Festival Delight,4/2/2023,Ahmedabad,Snapchat,Smartphone,Exclusive Sale,4268,1.3%,56,31,1725,17,19198,20,7,10
Festival Delight,4/3/2023,Ahmedabad,Snapchat,Smartphone,Exclusive Sale,4115,1.3%,55,27,1513,0,0,49,7,13
Festival Delight,4/4/2023,Ahmedabad,Snapchat,Smartphone,Exclusive Sale,2517,1.1%,28,6,180,14,12557,0,7,0
Festival Delight,4/5/2023,Ahmedabad,Snapchat,Smartphone,Exclusive Sale,2039,1.2%,24,27,644,17,24632,57,4,3
Festival Delight,4/6/2023,Ahmedabad,Snapchat,Smartphone,Exclusive Sale,3793,1.5%,57,0,21,7,4226,38,9,3
Festival Delight,4/7/2023,Ahmedabad,Snapchat,Smartphone,Exclusive Sale,3168,1.5%,49,22,1082,7,6158,37,4,10
Festival Delight,4/8/2023,Ahmedabad,Snapchat,Smartphone,Exclusive Sale,1644,1.4%,22,6,142,24,24753,10,4,7
Festival Delight,4/9/2023,Ahmedabad,Snapchat,Smartphone,Exclusive Sale,4663,1.5%,71,0,26,10,7365,12,4,10
Festival Delight,4/10/2023,Ahmedabad,Snapchat,Smartphone,Exclusive Sale,1543,1.0%,16,4,66,14,24270,43,4,17
Festival Delight,4/11/2023,Ahmedabad,Snapchat,Smartphone,Exclusive Sale,1217,1.2%,14,28,406,14,9418,22,22,13
Festival Delight,4/12/2023,Ahmedabad,Snapchat,Smartphone,Exclusive Sale,4470,1.6%,70,20,1382,17,19923,18,7,0
Festival Delight,4/13/2023,Ahmedabad,Snapchat,Smartphone,Exclusive Sale,3380,1.2%,41,13,526,21,17870,39,2,13
Festival Delight,4/14/2023,Ahmedabad,Snapchat,Smartphone,Exclusive Sale,4165,1.0%,42,8,327,17,26081,44,0,0
Festival Delight,4/15/2023,Ahmedabad,Snapchat,Smartphone,Exclusive Sale,4313,1.2%,53,28,1493,21,37189,58,0,10
Festival Delight,4/16/2023,Ahmedabad,Snapchat,Smartphone,Exclusive Sale,1975,1.0%,19,36,683,14,14489,53,2,20
Festival Delight,4/17/2023,Ahmedabad,Snapchat,Smartphone,Exclusive Sale,3174,1.8%,58,29,1682,14,13040,38,11,7
Festival Delight,4/18/2023,Ahmedabad,Snapchat,Smartphone,Exclusive Sale,2713,1.6%,44,17,748,14,22458,17,7,3
Festival Delight,4/19/2023,Ahmedabad,Snapchat,Smartphone,Exclusive Sale,1985,2.0%,39,5,189,24,18715,47,13,7
Festival Delight,4/20/2023,Ahmedabad,Snapchat,Smartphone,Exclusive Sale,2003,1.1%,22,31,677,10,8694,21,2,10
Festival Delight,4/21/2023,Ahmedabad,Snapchat,Smartphone,Exclusive Sale,2705,1.4%,39,40,1528,7,6762,54,2,7
Festival Delight,4/22/2023,Ahmedabad,Snapchat,Smartphone,Exclusive Sale,2448,1.5%,38,42,1574,7,6279,7,9,3
Festival Delight,4/23/2023,Ahmedabad,Snapchat,Smartphone,Exclusive Sale,2842,1.3%,38,24,915,10,14248,28,18,3
Festival Delight,4/24/2023,Ahmedabad,Snapchat,Smartphone,Exclusive Sale,2668,1.9%,51,16,795,0,0,22,13,3
Festival Delight,4/25/2023,Ahmedabad,Snapchat,Smartphone,Exclusive Sale,3204,1.3%,43,38,1616,21,48298,15,13,7
Festival Delight,4/26/2023,Ahmedabad,Snapchat,Smartphone,Exclusive Sale,2586,1.9%,48,15,707,7,5554,52,0,13
Festival Delight,4/27/2023,Ahmedabad,Snapchat,Smartphone,Exclusive Sale,4365,1.1%,48,33,1578,17,16663,52,25,13
Festival Delight,4/28/2023,Ahmedabad,Snapchat,Smartphone,Exclusive Sale,4270,1.6%,67,3,226,17,22821,27,9,10
Festival Delight,4/29/2023,Ahmedabad,Snapchat,Smartphone,Exclusive Sale,4656,1.3%,58,6,328,24,24149,26,13,3
Festival Delight,4/30/2023,Ahmedabad,Snapchat,Smartphone,Exclusive Sale,1664,1.5%,26,31,790,17,37672,49,13,13
Festival Delight,5/1/2023,Ahmedabad,Snapchat,Smartphone,Exclusive Sale,5156,1.8%,93,29,2700,7,9297,9,9,20
